env_id,wandb_project,total_timesteps,num_steps,ent_coef,time_cost,action_cost,final_reward_penalty,cont_energy_wrapper,time_bonus,box_reward,refuel_goal,initial_energy,gae_lambda
EnergyBoxes,exp-2,20000000,512,0.02,0,0,false,false,0,1,0,0,0.95
EnergyBoxes,exp-2,20000000,512,0.02,0,0,false,false,0.1,0,0,0,0.95
EnergyBoxesHard,exp-2,20000000,512,0.02,0,0,false,false,0,1,0,0,0.95
EnergyBoxesHard,exp-2,20000000,512,0.02,0,0,false,false,0.1,0,0,0,0.95
EnergyBoxesDelay,experiment-2,20000000,512,0.02,0,0,false,false,0,1,0,0,0.95
EnergyBoxesDelay,experiment-2,20000000,512,0.02,0,0,false,false,0.1,0,0,0,0.95
